id,name,kota_id
kec_206,Sunggal,Deli Serdang
kec_207,Pancur Batu,Deli Serdang
kec_208,Kutalimbaru,Deli Serdang
kec_209,Deli Tua,Deli Serdang
kec_210,Namo Rambe,Deli Serdang
kec_211,Sibolangit,Deli Serdang
kec_212,Biru-Biru,Deli Serdang
kec_213,Patumbak,Deli Serdang
kec_214,Tanjung Morawa,Deli Serdang
kec_215,Sinembah Tanjung Muda Hilir,Deli Serdang
kec_216,Percut Sei Tuan,Deli Serdang
kec_217,Batang Kuis,Deli Serdang
kec_218,Labuhan Deli,Deli Serdang
kec_219,Hamparan Perak,Deli Serdang
kec_220,Medan Belawan Kota,Medan
kec_221,Lubuk Pakam,Deli Serdang
kec_222,Pagar Merbau,Deli Serdang
kec_223,Beringin,Deli Serdang
kec_224,Pantai Labu,Deli Serdang
kec_225,Bangun Purba,Deli Serdang
kec_226,Sinembah Tanjung Muda Hulu,Deli Serdang
kec_227,Gunung Meriah,Deli Serdang
kec_228,Galang,Deli Serdang
kec_229,Bajenis,Tebing Tinggi
kec_230,Rambutan,Tebing Tinggi
kec_231,Tebing Tinggi Kota,Tebing Tinggi
kec_232,Padang Hulu,Tebing Tinggi
kec_233,Padang Hilir,Tebing Tinggi
kec_234,Binjai Kota,Binjai
kec_235,Binjai Barat,Binjai
kec_236,Binjai Selatan,Binjai
kec_237,Binjai Timur,Binjai
kec_238,Binjai Utara,Binjai
kec_239,Binjai,Langkat
kec_240,Selesai,Langkat
kec_241,Sei Binge (Bingai),Langkat
kec_242,Sirapit (Serapit),Langkat
kec_243,Kuala,Langkat
kec_244,Salapian,Langkat
kec_245,Sei Lepan,Langkat
kec_246,Kutambaru,Langkat
kec_247,Bahorok,Langkat
kec_248,Sawit Seberang,Langkat
kec_249,Stabat,Langkat
kec_250,Wampu,Langkat
kec_251,Padang Tualang,Langkat
kec_252,Batang Serangan,Langkat
kec_253,Tanjungpura,Langkat
kec_254,Hinai,Langkat
kec_255,Secanggang,Langkat
kec_256,Gebang,Langkat
kec_257,Babalan,Langkat
kec_258,Pangkalan Susu,Langkat
kec_259,Pematang Jaya,Langkat
kec_260,Besitang,Langkat
kec_261,Brandan Barat,Langkat
kec_262,Kotarih,Serdang Bedagai
kec_263,Bintang Bayu,Serdang Bedagai
kec_264,Silinda,Serdang Bedagai
kec_265,Perbaungan,Serdang Bedagai
kec_266,Pegajahan,Serdang Bedagai
kec_267,Pantai Cermin,Serdang Bedagai
kec_268,Dolok Masihul,Serdang Bedagai
kec_269,Serba Jadi,Serdang Bedagai
kec_270,Sipispis,Serdang Bedagai
kec_271,Dolok Merawan,Serdang Bedagai
kec_272,Bandar Khalifah,Serdang Bedagai
kec_273,Sei Bamban,Serdang Bedagai
kec_274,Sei Rampah,Serdang Bedagai
kec_275,Tanjung Beringin,Serdang Bedagai
kec_276,Teluk Mengkudu,Serdang Bedagai
kec_277,Tebing Tinggi,Serdang Bedagai
kec_278,Tebing Syahbandar,Serdang Bedagai
kec_279,Siantar Barat,Pematang Siantar
kec_280,Siantar Selatan,Pematang Siantar
