id,zip,name,kecamatan_id
20111,20111,Kesawan,Medan Barat
20112,20112,Petisah Tengah,Medan Petisah
20113,20113,Sekip,Medan Petisah
20114,20114,Silalas,Medan Barat
20115,20115,Glugur Kota,Medan Barat
20116,20116,Pulo Brayan Kota,Medan Barat
20117,20117,Karang Berombak,Medan Barat
20117,20117,Sei Agul,Medan Barat
20118,20118,Sei Putih Barat,Medan Petisah
20118,20118,Sei Putih Tengah,Medan Petisah
20118,20118,Sei Putih Timur I,Medan Petisah
20118,20118,Sei Putih Timur II,Medan Petisah
20119,20119,Sei Sikambing D,Medan Petisah
20121,20121,Babura Sunggal,Medan Sunggal
20122,20122,Sei Sikambing B,Medan Sunggal
20122,20122,Simpang Tanjung,Medan Sunggal
20122,20122,Tanjung Rejo,Medan Sunggal
20123,20123,Dwi Kora,Medan Helvetia
20123,20123,Sei Sikambing C II,Medan Helvetia
20124,20124,Helvetia,Medan Helvetia
20124,20124,Helvetia Tengah,Medan Helvetia
20124,20124,Helvetia Timur,Medan Helvetia
20125,20125,Tanjung Gusta,Medan Helvetia
20126,20126,Cinta Damai,Medan Helvetia
20127,20127,Lalang,Medan Sunggal
20128,20128,Sunggal,Medan Sunggal
20131,20131,Beringin,Medan Selayang
20131,20131,Padang Bulan Selayang I,Medan Selayang
20131,20131,Padang Bulan Selayang II,Medan Selayang
20132,20132,Sempakata,Medan Selayang
20132,20132,Tanjung Sari,Medan Selayang
20133,20133,Asam Kumbang,Medan Selayang
20134,20134,Tanjung Selamat,Medan Tuntungan
20135,20135,Simalingkar B,Medan Tuntungan
20135,20135,Simpang Selayang,Medan Tuntungan
20136,20136,Kemenangan Tani,Medan Tuntungan
20136,20136,Lau Cih,Medan Tuntungan
20136,20136,Namu Gajah,Medan Tuntungan
20137,20137,Sidomulyo,Medan Tuntungan
20138,20138,Ladang Bambu,Medan Tuntungan
20141,20141,Mangga,Medan Tuntungan
20142,20142,Kwala Bekala,Medan Johor
20143,20143,Pangkalan Masyhur,Medan Johor
20144,20144,Gedung Johor,Medan Johor
20145,20145,Kedai Durian,Medan Johor
20146,20146,Suka Maju,Medan Johor
20146,20146,Titi Kuning,Medan Johor
20147,20147,Harjosari I,Medan Amplas
20147,20147,Harjosari II,Medan Amplas
20148,20148,Timbang Deli,Medan Amplas
20149,20149,Bangun Mulia,Medan Amplas
20151,20151,Aur,Medan Maimun
20151,20151,Hamdan,Medan Maimun
20152,20152,Anggrung,Medan Polonia
20152,20152,Jati,Medan Maimun
20152,20152,Madras Hulu,Medan Polonia
20153,20153,Darat,Medan Baru
20153,20153,Petisah Hulu,Medan Baru
20154,20154,Babura,Medan Baru
20154,20154,Merdeka,Medan Baru
20155,20155,Padang Bulan,Medan Baru
20156,20156,Titi Rantai/Rante,Medan Baru
20157,20157,Polonia,Medan Polonia
20157,20157,Sari Rejo,Medan Polonia
20157,20157,Suka Damai,Medan Polonia
20158,20158,Kampung Baru,Medan Maimun
20159,20159,Sei Mati,Medan Maimun
20159,20159,Suka Raja,Medan Maimun
20211,20211,Pandau Hulu I,Medan Kota
20211,20211,Pandau Hulu II,Medan Area
20212,20212,Pasar Baru,Medan Kota
20212,20212,Pusat Pasar,Medan Kota
20213,20213,Mesjid,Medan Kota
20214,20214,Sei Rengas I,Medan Kota
20214,20214,Sei Rengas II,Medan Area
20214,20214,Sei Rengas Permata,Medan Area
20215,20215,Kota Matsum I,Medan Area
20215,20215,Kota Matsum II,Medan Area
20215,20215,Kota Matsum III,Medan Kota
20215,20215,Kota Matsum IV,Medan Area
20216,20216,Sukaramai I,Medan Area
20216,20216,Sukaramai II,Medan Area
20216,20216,Tegal Sari I,Medan Area
20216,20216,Tegal Sari II,Medan Area
20216,20216,Tegal Sari III,Medan Area
20217,20217,Pasar Merah Barat,Medan Kota
20217,20217,Pasar Merah Timur,Medan Area
20217,20217,Teladan Barat,Medan Kota
20217,20217,Teladan Timur,Medan Kota
20218,20218,Sudi Rejo I,Medan Kota
20218,20218,Sudi Rejo II,Medan Kota
20219,20219,Siti Rejo I,Medan Kota
20219,20219,Sitirejo II,Medan Amplas
20219,20219,Sitirejo III,Medan Amplas
20221,20221,Indra Kasih,Medan Tembung
20222,20222,Sidorejo,Medan Tembung
20222,20222,Sidorejo Hilir,Medan Tembung
20223,20223,Bandar Selamat,Medan Tembung
20224,20224,Bantan,Medan Tembung
20224,20224,Bantan Timur,Medan Tembung
20225,20225,Tembung,Medan Tembung
20226,20226,Tegal Sari Mandala I,Medan Denai
20226,20226,Tegal Sari Mandala II,Medan Denai
